Загальна кількість літер N = 2334
Літера | Кількість | Частота
--------------------------------
  а    |    187    | 0.080120
  б    |    39     | 0.016710
  в    |    134    | 0.057412
  г    |    28     | 0.011997
  ґ    |     0     | 0.000000
  д    |    85     | 0.036418
  е    |    103    | 0.044130
  є    |    31     | 0.013282
  ж    |    23     | 0.009854
  з    |    59     | 0.025278
  и    |    160    | 0.068552
  і    |    119    | 0.050985
  ї    |     4     | 0.001714
  й    |    32     | 0.013710
  к    |    76     | 0.032562
  л    |    78     | 0.033419
  м    |    58     | 0.024850
  н    |    164    | 0.070266
  о    |    209    | 0.089546
  п    |    72     | 0.030848
  р    |    95     | 0.040703
  с    |    104    | 0.044559
  т    |    150    | 0.064267
  у    |    80     | 0.034276
  ф    |     5     | 0.002142
  х    |    24     | 0.010283
  ц    |    11     | 0.004713
  ч    |    39     | 0.016710
  ш    |    20     | 0.008569
  щ    |    14     | 0.005998
  ь    |    48     | 0.020566
  ю    |    29     | 0.012425
  я    |    54     | 0.023136
